 

Obsidian Energy Ltd
Cadotte (NAD 83)
13-8-83-17W5
OBE 102 Hz Cadotte 16-18-83-17W5
102/16-18-083-17W5/00
Final Survey (Lic# 0517936)?

----- Geographical data ----------------------
Mapdatum...........: North American Datum 1983
Map System............: Universal Transverse Mercator
Map Zone: Zone 11N (120 W to 114 W)
Latitude:56° 11' 8.1805 N
Longitude: 116° 39' 33.8210 W
Northing: 6226789.52
Easting: 521140.84

----- Geomagnetic data ----------------------
Magnetic model...........: HRGM
Magnetic date............: 28-Mar-2025
Magnetic field strength..:   56561.74 HCNT
Magnetic dec (+E/W-).....:      14.48 degrees
Magnetic dip.............:      75.92 degrees

----- Depth reference -----------------------
Permanent datum..........: Mean Sea Level                    
Depth reference..........: Actual KB
GL above permanent.......:    706.54 (m)
KB above permanent.......:    711.06 (m)
DF above permanent.......:    711.06 (m)

----- Corrections ---------------------------
Magnetic dec (+E/W-).....:      14.482 degrees
Grid convergence (+E/W-).:       0.28  degrees
Total az corr (+E/W-)....:      14.48  degrees
Total az corr (+E/W-)....:      14.48  degrees

----- Survey Type Information ---------------------------
H  4.52 - 1229.00 SURVEY #1 : MWD+IFR1+MS


MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/30m,UTM X,UTM Y, Lat, Long

894.780,87.190,330.570,669.125,41.935,312.588,-170.791,352.508,5.756,520968.575,6227101.138,56.188413,-116.662145, 
904.000,89.310,330.700,669.407,41.653,320.619,-175.310,361.643,6.911,520964.018,6227109.143,56.188485,-116.662218, 
923.000,91.430,331.390,669.284,41.776,337.243,-184.508,380.459,3.520,520954.742,6227125.715,56.188634,-116.662366,ICP
934.080,91.220,331.800,669.028,42.032,346.986,-189.777,391.414,1.247,520949.427,6227135.428,56.188722,-116.662451, 
947.570,90.750,332.630,668.796,42.264,358.919,-196.064,404.731,2.121,520943.083,6227147.325,56.188829,-116.662553, 
960.990,89.900,333.200,668.720,42.340,370.867,-202.175,417.954,2.288,520936.917,6227159.238,56.188936,-116.662651, 
974.500,91.180,330.260,668.593,42.467,382.763,-208.572,431.308,7.120,520930.463,6227171.098,56.189043,-116.662754, 
987.990,91.540,327.040,668.272,42.788,394.279,-215.588,444.729,7.203,520923.393,6227182.574,56.189147,-116.662867, 
1001.480,90.170,324.040,668.071,42.989,405.399,-223.219,458.203,7.334,520915.710,6227193.652,56.189247,-116.662990, 
1014.980,88.420,320.840,668.237,42.823,416.098,-231.446,471.699,8.104,520907.434,6227204.306,56.189343,-116.663122, 
1028.490,88.610,320.750,668.587,42.473,426.564,-239.983,485.194,0.467,520898.849,6227214.725,56.189437,-116.663260, 
1042.010,90.670,317.820,668.672,42.388,436.809,-248.800,498.682,7.947,520889.984,6227224.923,56.189529,-116.663402, 
1055.520,90.330,314.670,668.554,42.506,446.566,-258.142,512.093,7.035,520880.598,6227234.630,56.189616,-116.663552, 
1069.030,88.580,312.180,668.683,42.377,455.851,-267.952,525.409,6.758,520870.746,6227243.863,56.189700,-116.663710, 
1082.550,88.210,308.350,669.062,41.998,464.585,-278.263,538.584,8.535,520860.396,6227252.542,56.189778,-116.663877, 
1096.070,89.660,305.160,669.313,41.747,472.672,-289.092,551.555,7.774,520849.532,6227260.573,56.189851,-116.664051, 
1109.590,91.370,302.310,669.192,41.868,480.179,-300.333,564.308,7.375,520838.258,6227268.021,56.189918,-116.664232, 
1123.110,89.460,302.550,669.094,41.966,487.429,-311.744,576.958,4.271,520826.816,6227275.212,56.189983,-116.664416, 
1136.590,88.830,299.700,669.295,41.765,494.395,-323.281,589.457,6.495,520815.250,6227282.118,56.190046,-116.664602, 
